group_id;group_label
695;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Spot Price | Medium
697;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Variable Price | Low
698;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Variable Price | Medium
705;Western and Inland Finland | Pirkanmaa | Tampere | Private | Flat/Hybrid | Low
706;Western and Inland Finland | Pirkanmaa | Tampere | Private | Flat/Hybrid | Medium
707;Western and Inland Finland | Pirkanmaa | Tampere | Private | Spot Price | Low
708;Western and Inland Finland | Pirkanmaa | Tampere | Private | Spot Price | Medium
709;Western and Inland Finland | Pirkanmaa | Tampere | Private | Variable Price | Low
738;Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Spot Price | Medium
740;Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Variable Price | Low
741;Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Variable Price | Medium
